-----------------------------------------|---------|----------|---------|---------|-------------------
File                                     | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
-----------------------------------------|---------|----------|---------|---------|-------------------
All files                                |    3.48 |      3.5 |    2.08 |     3.5 |                   
 src                                     |       0 |        0 |       0 |       0 |                   
  all-exceptions.filter.ts               |       0 |        0 |       0 |       0 | 2-34              
  app.controller.ts                      |       0 |        0 |       0 |       0 | 1-10              
  app.module.ts                          |       0 |      100 |     100 |       0 | 1-81              
  app.service.ts                         |       0 |      100 |       0 |       0 | 1-6               
  health.controller.ts                   |       0 |      100 |       0 |       0 | 1-7               
  main.ts                                |       0 |        0 |       0 |       0 | 1-116             
 src/common/auth                         |   91.89 |    84.61 |     100 |   90.62 |                   
  authorization.service.ts               |      90 |    83.33 |     100 |      88 | 53,65-67          
  permissions.matrix.ts                  |     100 |      100 |     100 |     100 |                   
 src/common/constants                    |     100 |      100 |     100 |     100 |                   
  permissions.ts                         |     100 |      100 |     100 |     100 |                   
  roles.ts                               |     100 |      100 |     100 |     100 |                   
 src/common/database                     |     100 |      100 |     100 |     100 |                   
  prisma-scope.helper.ts                 |     100 |      100 |     100 |     100 |                   
 src/common/decorators                   |   26.66 |        0 |       0 |      25 |                   
  active-user.decorator.ts               |       0 |        0 |       0 |       0 | 1-7               
  permissions.decorator.ts               |      80 |      100 |       0 |      75 | 6                 
  roles.decorator.ts                     |       0 |      100 |       0 |       0 | 1-4               
 src/common/enums                        |       0 |        0 |       0 |       0 |                   
  project-role.enum.ts                   |       0 |        0 |       0 |       0 | 1-10              
 src/common/guards                       |   54.32 |    42.18 |   55.55 |   54.79 |                   
  permissions.guard.ts                   |     100 |    85.71 |     100 |     100 | 14,42             
  project-auth.guard.ts                  |     100 |    88.23 |     100 |     100 | 11,34             
  roles.guard.ts                         |       0 |        0 |       0 |       0 | 1-27              
  unified-auth.guard.ts                  |       0 |        0 |       0 |       0 | 1-52              
 src/common/interceptors                 |       0 |        0 |       0 |       0 |                   
  audit.interceptor.ts                   |       0 |        0 |       0 |       0 | 1-33              
 src/modules/activities                  |       0 |        0 |       0 |       0 |                   
  activities.controller.ts               |       0 |        0 |       0 |       0 | 1-50              
  activities.module.ts                   |       0 |      100 |     100 |       0 | 1-11              
  activities.service.ts                  |       0 |        0 |       0 |       0 | 1-630             
 src/modules/activities/dto              |       0 |      100 |     100 |       0 |                   
  create-activity.dto.ts                 |       0 |      100 |     100 |       0 | 1-94              
  reorder-activities.dto.ts              |       0 |      100 |     100 |       0 | 1-6               
 src/modules/audit-logs                  |       0 |        0 |       0 |       0 |                   
  audit-logs.module.ts                   |       0 |      100 |     100 |       0 | 1-10              
